record_id,customer_id,merchant_id,created_at,event,amount,failure,root_cause,risk,agent_decision,action,attempt,result,recovered,status,stop_reason,payment_method,prior_failed_attempts,customer_risk_score,time_since_last_purchase_days,historical_ltv_inr,days_overdue,p_recover_true
rec_0483,C325,merchant_test_001,2026-08-04T15:01:00,subscription_failure,250,insufficient_funds,soft_decline,not_recoverable,write_off,no_action,0/0,not_attempted,0.0,not_recovered,predicted_not_recoverable_skipped,wallet,0,0.546,387,14202.3,,0.26
rec_0250,C143,merchant_test_001,2026-08-04T16:36:00,payment_failure,350,3ds_failure,technical_issue,recoverable,retry_later,retry_payment,2/3,failure,0.0,stopped,customer_opted_out,netbanking,0,0.5,385,964.58,,0.574
rec_0063,C586,merchant_test_001,2026-08-16T16:48:00,checkout_abandonment,700,address_dropoff,technical_issue,not_recoverable,write_off,no_action,0/0,not_attempted,0.0,not_recovered,predicted_not_recoverable_skipped,wallet,0,0.038,37,2342.01,,0.374
rec_0266,C889,merchant_test_001,2026-08-22T21:13:00,overdue_invoice,4200,overdue_60d_plus,customer_hesitation,not_recoverable,soft_reminder_low_priority,send_email_reminder,1/1,failure,0.0,stopped,customer_opted_out,invoice,1,0.102,387,1363.08,33.0,0.3
rec_0022,C984,merchant_test_001,2026-08-05T20:22:00,checkout_abandonment,1050,payment_selection_dropoff,technical_issue,recoverable,retry_prompt,send_retry_link,1/2,success,1050.0,recovered,customer_paid,netbanking,0,0.029,71,2527.71,,0.836
rec_0464,C254,merchant_test_001,2026-08-20T16:43:00,payment_failure,1100,card_expired,hard_decline,not_recoverable,write_off,no_action,0/0,not_attempted,0.0,not_recovered,predicted_not_recoverable_skipped,wallet,0,0.298,74,5071.06,,0.03
rec_0462,C852,merchant_test_001,2026-08-20T15:08:00,checkout_abandonment,600,otp_dropoff,customer_hesitation,recoverable,send_reminder,send_whatsapp_reminder,1/2,success,600.0,recovered,customer_paid,card,0,0.236,290,2505.1,,0.97
rec_0269,C790,merchant_test_001,2026-08-24T06:26:00,subscription_failure,400,issuer_down,technical_issue,recoverable,retry_later,retry_payment,1/3,failure,0.0,stopped,customer_opted_out,netbanking,0,0.073,49,3479.44,,0.805
rec_0391,C725,merchant_test_001,2026-08-15T07:17:00,checkout_abandonment,250,payment_selection_dropoff,soft_decline,recoverable,send_reminder,send_sms_reminder,1/2,success,250.0,recovered,customer_paid,emi,1,0.381,62,3601.69,,0.847
rec_0528,C173,merchant_test_001,2026-08-02T21:56:00,subscription_failure,150,risk_declined,hard_decline,not_recoverable,write_off,no_action,0/0,not_attempted,0.0,not_recovered,predicted_not_recoverable_skipped,upi,2,0.107,376,5704.43,,0.108
rec_0527,C945,merchant_test_001,2026-08-12T05:54:00,overdue_invoice,3700,overdue_31_60d,customer_hesitation,recoverable,send_payment_reminder,send_invoice_reminder,3/3,failure,0.0,failed,max_retries_reached,invoice,0,0.011,74,14698.56,9.0,0.686
rec_0045,C248,merchant_test_001,2026-08-12T19:15:00,subscription_failure,150,risk_declined,hard_decline,not_recoverable,write_off,no_action,0/0,not_attempted,0.0,not_recovered,predicted_not_recoverable_skipped,netbanking,1,0.082,124,2642.71,,0.063
rec_0158,C428,merchant_test_001,2026-08-07T04:22:00,payment_failure,400,insufficient_funds,soft_decline,recoverable,retry_now,retry_payment,2/2,failure,0.0,failed,max_retries_reached,wallet,0,0.156,74,1056.87,,0.678
rec_0222,C726,merchant_test_001,2026-08-04T13:50:00,payment_failure,250,bank_timeout,soft_decline,recoverable,retry_now,retry_payment,2/2,success,250.0,recovered,payment_success,emi,1,0.289,301,3413.67,,0.436
rec_0580,C860,merchant_test_001,2026-08-09T18:25:00,payment_failure,1050,network_error,technical_issue,recoverable,retry_later,retry_payment,3/3,failure,0.0,failed,max_retries_reached,card,0,0.452,258,1412.5,,0.55
